prolific_id,which_experiment,counterbalancing,Q0,Q1,Q2,Q3,Q4,Q5,Q6
sub111,experiment_1,dense_right,"No, nothing was unclear, only that a pic of all the different shapes that were different the triangle spade etc. to help clarify the different shapes.",I went mostly with my gut in which I felt looked closer to the target.,"I guess so, not having a timer felt like I had to pick sooner than I probably had to, but ",I mentioned near the start of the task that a timer between each would have been nice to prepare position fingers etc. especially the similarity tasks as they loaded and started pretty quickly compared to Same/Different task.,"I did feel a little confused. You wrote the word exactly the same... only most weren't the same. They often looked similar, but they were slightly different in size or angle, very rarely exactly the same. I felt like a picture of or a number of how many shapes we were comparing would have helped before doing it to clarify meant to be comparable. IF that makes sense?","Again, I guess so... I think having too much time can be an hindrance.",Not that I can think of that I haven't covered above.
sub112,experiment_1,dense_left,no,a quick glance to see what looked as similar ,yes,nothing,no,yes,no
sub113,experiment_1,dense_left,no,looked at how much different they were,yes,no,no,yes,no
sub114,experiment_1,dense_right,No,Based on features like concave vs convex sides.,Yes.,No.,No.,Yes.,No.
sub115,experiment_1,dense_left,No,"By looking at the the shape, was it rounded or pointed, were the sides concave.",Mostly,no,No,Yes,No
sub116,experiment_1,dense_right,No,I tried to match the shape and contour of the target object as close as possible to the object.,Yes,No,No,Yes,No
sub117,experiment_1,dense_right,Nope all clear,By overall shape more specifically the curvature of the outside lines.,Yes plenty of time.,Nope,Nope,Yes,On the last 5 of 5 the first image did not appear to me. Thanks
sub118,experiment_1,dense_left,No,I looked for the shape of the base and made my decision with that.,"Yeah after I got the hang of it, just about enough.",No.,No.,Yeah I felt like there was enough time.,No.
sub119,experiment_1,dense_right,none,looked for similar traits ,yes,none,no,yes,none
sub120,experiment_1,dense_left,it was all clear,just my gut feeling,yes,nothing to add,it was all clear,yes,nothing to add
sub121,experiment_1,dense_right,"No, Everything was well explained. ",By how pointy or round corners were.,I think yes. There is plenty of time to to respond. ,No.,Everything was clear and I could understand very well.,"Yes, I did.",NO.
sub122,experiment_1,dense_left,No. The instructions were clear.,I looked how how similar the surface area was (light purple) and the height of the shape (the dark purple.,Ye.,None.,No.,Yes.,No.
sub123,experiment_1,dense_right,no,"I tried to decide which macthed more , so fatness/andles etc",yes although I had to think/work quickly,I would like to be able to press space/enter to continue as repositioning hands was annoying,no but I would have liked a short practice trial or to use different keys for the answers as my first few answers in the first round involved me putting the wrong fingers down.,yes,same as above enter/space would be good for continue
sub124,experiment_1,dense_left,No,I stared at the centre object and used my peripheral vision to look at the other two.  Then I just went with my initial reaction to which was most similar.,"Just about, I think I would have been more accurate with more time",No,No,"Just about, I think I would have been more accurate with more time",No
sub125,experiment_1,dense_right,No,I tried not to spend too much time thinking about it and Just went with my gut., Most of the time ,No, All the instructions were clear,Most of the time,Not that I can think of
sub126,experiment_1,dense_right,No,I decided if the edges were curved in or out or even straight and then matched that to the closest style one.,yes,None,No,yes,No
sub127,experiment_1,dense_left,nothing,by looking at which one seemed to resemble more closely,yes,none,nothing,Yes,none
sub128,experiment_1,dense_right,No,By quickly scanning all images and trying to compare instinctively.,Yes,No,No,An extra second or two would have been useful.,No
sub129,experiment_1,dense_left,No,closed amount of similar features,just about,no,no,could have used a bit more!,no
sub130,experiment_1,dense_left,No.,Took it's general shape into account. Considered if sides were convex or concave. How pointy the corners were. ,Yes. ,Some of them were difficult. I was unsure with several. ,No. ,Yes. ,No. 
sub131,experiment_1,dense_right,nope,i just went with my gut feeling didnt really have a method as such,yes,no,all clear,yes,no
sub132,experiment_1,dense_left,No,I judged it by which shape seemed to curve the same,No,No,No,No,No
sub133,experiment_1,dense_left,no,by looking,yes,brilliant study,nope,yes,nope
sub134,experiment_1,dense_left,NO,"I went on how the top flat bit looked, if very similar i just went with my gut",Yes,None,No,Yes,no
sub135,experiment_1,dense_right,"No, The instructions were clear",I would just go with the one I thought looked the most similar at first glance.,"Mostly, yes, but if I hesitated the time ran out quick.","Not really, it was really interesting to participate.","No, everything was very clear.","It was really hard because the shapes started to look so similar at the end, so i would sometimes click and then doubt my answer right after, but i didnt have time to think, i just had to go with first impression.",No.
sub136,experiment_1,dense_left,No,By which one looked most like it.,Yes,None,No,Yes,None
sub137,experiment_1,dense_right,No.,I tried to look at the basic shape of the base and made a decision on whether I felt it was more rounded/curved or more angular/triangular in relation to the shape in the middle.,Yes but a second or two longer might have increased my accuracy as I did feel pressure to respond before I ran out of time.,I think it's all been covered really.,No.,Yes but as with the Similarity tasks a second or two longer might have helped my accuracy. At times I felt i did have to guess somewhat as had I spent any longer trying to accurately recall the previous shape I'd have probably timed out.,"I must admit, I did find myself mentally tiring a bit as the task went on and did notice that my accuracy was largely declining as the 5 trials went on, apart from the very final of the 5 trials interestingly."
sub138,experiment_1,dense_right,yes some of the time 3 images apear and the middle one was not like the other 2 but there was no other options,by the curve,yes the time seemed very adeqquate,i started out slow after gettin the instructions confused,"none, i dont think",yes plenty of time was allocated,"none, it was a little long"
sub139,experiment_1,dense_right,No,"If I had a pointed shape (sharp edges), I tended to pick the shape which was less round as the similar object.",Usually,No,No but at first (trial 1) I kept getting confused about which letter was which!,Yes,No
sub140,experiment_1,dense_left,"No, Everything was clear.",by looking at them and seeing which shape mached the most.,yes,no.,"no, everything was clear.",yes.,no.
sub142,experiment_1,dense_left,No,shape of curve(?) convex or concave / how triangular ,yes,No,No,Yes,No
sub143,experiment_1,dense_right,"No, i understood them fine.",I decided whether the object was more pointed or rounded and chose whichever looked the most similarly shaped.,Yes,n/a,no,Yes,n/a
sub144,experiment_1,dense_right,Nothing was unclear,"I tried to categorise them. So in my head the categories were triangle, curved outwards triangle, shield (curved inwards triangle) and so on.., and then made a quick decision as to which fitted that category best. Most of the time for example, if a normal triangle was curved inwards slightly then I'd go with the one that was a shield as the most similar object. But if the triangle was curved outwards slightly, then I'd make the decision that it was more similar to the curved outwards triangles. ","In some cases yes, but in a few cases I was too slow and made clumsy decisions. A second or two longer would have made me much more accurate I think. ",None. ,Nothing was unclear. ,Yes for the most part. Though tiredness played a small factor.,None.
sub145,experiment_1,dense_left,No,"Which one was the closest looking, I looked at whether the sides were concave or convex",Yes,No,No,Yes,No
sub146,experiment_1,dense_right,"No, it was very clear.",I chose by looking at the spacing of each object,I felt i had enough time,n/a,"no, all clear","yes, i felt i had enough time",n/a
sub147,experiment_1,dense_right,Everything is explained clearly,check the shape and the curvature of the edges.,"on average yes, I could make better decision if given longer decision time",quite interesting tasks,everything is clear to me,Yes,Not as easy as I expected. 
sub148,experiment_1,dense_right,no,Concave vs. convex sides,yes,Difficult at times,No,yes,Easier than the similarity task
sub149,experiment_1,dense_left,no,the ones that had curved or staight lines,yes ,none,no,yes,no
sub150,experiment_1,dense_left,Not at all,Depended on the pointedness/roundness of the triangle. ,No - I did panic and pressed the wrong buttons at times where I was aware,These tasks were easier than the others,No but I do believe there should have been a practice,"No, I also panic clicked a lot more in this trial",This tested quite confusing at times
sub151,experiment_1,dense_left,np. ,I looked at the corners and the shape of the object.,yes.,no.,no.,yes.,no.
sub152,experiment_1,dense_right,No. The instructions were clear.,I looked at the overall shapes and picked the one I thought was the most similar to the target shape.,I would have been more accurate if I had more time to compare the shapes. ,A few times I picked a shape and then thought instantly that I had made a mistake on closer viewing. Having to make a quick assessment was the hardest part of the task. ,No,Yes,It was easier than the similarity task but sometimes I wasn't sure if the shape was the same or slightly different.
sub153,experiment_1,dense_right,No everything was clear!,"A lot looked very similar, so i tried to focus on the outline/edge of the shape.",Yeah more than enough.,Was fun!,No everything was fine.,Yeah.,"Was challenging, but fun!"
sub155,experiment_1,dense_left,"The criteria for judging the similiarity was unclear, some shapes I think were equally similiar.","I prioritised the sharpness/smoothness of the edges, the more rounded shapes being more similiar even if they were slightly triangular.",Yes,There is a delay after pressing the p or q key that makes the task feel slow.,No.,Yes,Same feedback as above- feels like there is a delay after choosing either p or q
sub156,experiment_1,dense_left,"no, not at all",I suppose intuition and based on looking at them and thinking which one looks like it needs to be the least modified to get to the middle shape. ,yes,can't think of anything,"no, very clear","yes, seemed fine maybe a bit trickier simply because it took a while to get used to different task ","no, thanks for letting me participate :)"
sub157,experiment_1,dense_right,no,i look at the curves and compare,yes,no,no,yes,no
sub158,experiment_1,dense_right,Nothing was unclear thank you for providing clear instructions,"I tried to look at the top of the shape first, but if they were all too similar i then looked at the bottom of the shape to see a more noticeable difference",Yes but on some where they looked very similar I panicked and pressed the wrong one and immediately after realised i had selected the wrong one,On some where they looked very similar I panicked and pressed the wrong one and immediately after realised i had selected the wrong one,Nothing was unclear thank you for providing clear instructions,Yes but on some where they looked very similar I panicked and pressed the wrong one and immediately after realised i had selected the wrong one,On some where they looked very similar I panicked and pressed the wrong one and immediately after realised i had selected the wrong one
sub159,experiment_1,dense_right,no,used intuition,yes,no,no,yes,no
sub160,experiment_1,dense_left,No.,I quickly glanced at each of them to the left and right.,"Just about, but it was close when they were all similar.",None.,No.,Not really. It was difficult sometimes.,My task 2 was faulty as not all the images loaded.
sub161,experiment_1,dense_right,"To begin with I thought it meant one of the two options would be the same as the middle, but it quickly became clear it was just whichever was most similar.",By paying attention to how curved the sides were,Yes,No,No,Yes,No
sub162,experiment_1,dense_left,No.,I tried to focus on the bottom part/base of the object but it was really difficult.,Yes,It was quite difficult and I was surprised I did progressively worse as the trials went on,No.,Yes,I was also surprised by how difficult and how badly I did even though I focused and concentrated on it really hard.
sub163,experiment_1,dense_right,No,I just quickly looked at both options and went with my first opinion on which was more similar.,Yes,No,No,Yes,No
sub165,experiment_1,dense_left,No,"I tried to choose based on the general shape of the top, or in the case of the triangles, how curved the edges were",Barely,None,No,Barely,No
sub166,experiment_1,dense_right,No,By the edges of the shape,Yes,No,No,Yes,No
sub167,experiment_1,dense_left,No! :),"It was a combination of intuition / initial reaction, and looking at how concave/convex (fat/thin) the triangles were.","Just enough, usually, unless they were very similar in which case I felt quite pressed for time.",No! :),No! :),"Again, usually yes, but if my initial reaction was ""this looks really similar but _slightly_ different, maybe"" then my brain wanted a few more seconds to remember and think, so I felt a bit pressed for time.",No! :)
sub168,experiment_1,dense_right,no,By eye - jsut tried to look at both objects and select one,not always,no,no,yes,no
sub170,experiment_1,dense_right,No,Went for the nearest shape - whether it had straight lines or not,Yes,No,No,Yes,No
sub172,experiment_1,dense_left,Nothing was unclear.,I looked at the target object in the middle and chose the object which looked more similar to it in the time frame given.,A few more seconds would have made my decisions more accurate.,Nothing else comes to mind.,"No, everything was crystal clear.","No, I would have liked a bit more time as I would have performed much better than I did.","No, I have nothing more to add."
sub173,experiment_1,dense_right,no,By comparing the shapes,Failry so,No,no,no,no
sub174,experiment_1,dense_left,No.,"By observing the shape, Specially the edges.","yes,",I think it was easy to find the similar shapes.,No,"I missed 2-3 trials because of short time. But, rest it was okay.",TO choose same and different was a bit difficult.
sub175,experiment_1,dense_right,No nothing was unclear,I looked at the general shape and went with what my first instinct of the more similar was. I didn't realise until I did the same/different task that there were a few variations of the similar shapes and I was able to identify some of the differences. ,Yes I had enough time but I did feel like some of my responses may have been different if I was able to examine the comparisons a bit more. ,No other feedback thank you ,No nothing was unclear,Yes I had enough time for each. I found myself feeling more confident towards the end of the trials as I learnt more about the shapes. ,No other feedback thank you 
sub176,experiment_1,dense_right,no,look at middle then compare right and left,yes,no,no,most of the time,no
sub177,experiment_1,dense_left,All clear,Sometimes it was obvious because they were almost identical. Other times i looked at how much of  a curve there was and which way it bent.,yes,SOme of them were very close in shape,no,yes,THe different ones were surprisingly hard to spot
sub178,experiment_1,dense_right,no,based on the shape of the bottom pointy part of the object and the black bit,yes,no,no,yes,no
sub180,experiment_1,dense_left,No.,I went off my gut feeling.,Yes,No.,No.,yes,no
sub181,experiment_1,dense_right,No,I kind of blurred my eyes a little to see if the different one jumped out,Yes,No,No,Yes,No
sub182,experiment_1,dense_right,no,shape ,yes,no,no,yes,no
sub183,experiment_1,dense_left,no,i looked at the shape of them,not quite,some looked so similar i wasn't alway sure if it was meant to be a new shape or not,no,not quite,no
sub184,experiment_1,dense_left,No,By how concave / convexthe edges were,Yes,No,No,Yes,No
sub185,experiment_1,dense_left,No all was good and clear! ,I squinted my eyes to see if this helped me,Yes perfect time,"No, was a good study! ",No all good,Yes,No all is good!
sub186,experiment_1,dense_right,no,"I imagined that I want to buy a pair of similar items, so the overall shapes should be as similar as possible.",almost yes,no,no,yes,no
sub187,experiment_1,dense_left,no,"overall impression of shape, sometimes the leading edge ","sometimes, although I felt as the rounds went on I had seen so many shapes I naturally hesitated and required longer.",none,no,"sometimes, same as similarity tasks in that I hesitated more as time passed.",no
sub188,experiment_1,dense_right,No,Size of shape and direction of its curves.,Yes,No,No,Yes,I think I was struggling to identify differences between shapes. Some of the differences were really slight.
sub189,experiment_1,dense_right,No,I tried to pick the object that was curved in the same direction as the central one. If the central object was straight then I picked the less distorted of the two,Yes but I would have liked more and the limit did stress me a little,No,No,"Same as above, I had enough time but I would have liked more and the limit did stress me a little",No
sub190,experiment_1,dense_right,no,it's hard to explain in words but I thought about how much you would have to change the middle shape in order to turn it into the left or right shape and judged the similarity based on that,"no, the time pressure made it very difficult to judge accurately",no,no,"no, the time pressure made it very difficult",no
sub191,experiment_1,dense_left,No.,"I looked for similarities in the shaded part of each shape, this helped me see which was more similar to the target.",Just about.,No.,No.,Yes.,No.
sub192,experiment_1,dense_left,"
No",Shape and size,Yes,No,No,Yes,None
sub193,experiment_1,dense_left,No,Looked at how rounded the corners were compared to the target one,Yes,No,No,Yes,No
sub194,experiment_1,dense_right,nothing,from the shape and the way the curves went,yes,none,no,yes,none
sub195,experiment_1,dense_left,"No, the instructions were clear and the trial was helpful in understanding the task.","At first I tried to look at the whole shape and judge the corners but by the final round I adopted another strategy and was trying to judge how concave/convex the edge closest to me was, and comparing those. ",Yes,"No, thank you.","I misunderstood the task initially, thinking I had to see a 'control' image and then compare it with the image I had to judge, then see a new 'control' image and then compare etc. - sorry I messed up there! By the second round I got the hang of it. It would have helped to have a trial run and feedback to explain I was getting it wrong. ",It was fine.,"Not really. As mentioned, having a practice round to let me get a feel for the task would have helped."
sub196,experiment_1,dense_right,no,by shape ,yes,no,no,yes,no
sub197,experiment_1,dense_right,no,the shape and curve,yes,no,no,yes,no
sub199,experiment_1,dense_left,No,Looking at the border and trying to decide if it woas more similar to a triangular shape or the more rounded one,Yes,No,No,Yes,No
sub200,experiment_1,dense_left,no,I looked at the edges mostly (sharp or rounded).,yes for the most part,-,no,yes for the most part,-
sub201,experiment_1,dense_right,no,I compared the line at the back of the shape to see how curved or convex it was,yes,no,no,yes,no
sub202,experiment_1,dense_right,No,"Based on edges, angles","Most of the time, yes",Nope!,No,"Mostly, yes",Nope
sub203,experiment_1,dense_left,What to pick for first object in different to previous one,looked at shape,yes,n/a,n/a,n/a,n/a
sub204,experiment_1,dense_left,no,looking at the curve of the edge and how far the edge was from the funnel,yes,no,no,yes,no
sub205,experiment_1,dense_right,No,"I didn't intellectualise it where it much, it was intuitive?",Yes,I found it surprisingly difficult to hardwire quickly what 'p' and 'q' were meant to do so I accidentally clicked on the wrong answer many times!,No,Yes,"As above, I found it surprisingly difficult to hardwire quickly what 'p' and 'q' were meant to do so I accidentally clicked on the wrong answer many times!"
sub207,experiment_1,dense_left,none,i relied on memory and shapes,yes,none,none,yes,none
sub222,experiment_1,dense_left,no,by looking at them,no,not right now,no,no,no
